customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
10567,85,1.0,9.9,4,3,1,431,Potential Loyalist
10568,26,1.0,82.66,5,3,3,533,Loyal Customers
10572,132,1.0,14.02,3,3,1,331,Frequent Low Spenders
10575,358,1.0,27.72,1,3,2,132,At Risk
10576,337,1.0,257.8,1,3,5,135,At Risk
10577,253,1.0,51.15,1,3,3,133,At Risk
10578,325,1.0,15.12,1,3,1,131,At Risk
10580,348,1.0,26.66,1,3,1,131,At Risk
10582,124,1.0,40.26,3,3,2,332,Frequent Low Spenders
10583,34,1.0,118.64,5,3,4,534,Loyal Customers
10587,113,1.0,351.93,3,3,5,335,Others
10589,12,1.0,484.42,5,3,5,535,Loyal Customers
10591,45,1.0,229.11,4,3,5,435,Loyal Customers
10592,54,1.0,123.06,4,3,4,434,Loyal Customers
10593,194,1.0,64.01,2,3,3,233,At Risk
10596,128,1.0,101.7,3,3,4,334,Others
10597,180,1.0,870.15,2,3,5,235,At Risk
10598,208,1.0,274.9,2,3,5,235,At Risk
10607,113,1.0,27.8,3,3,2,332,Frequent Low Spenders
10608,73,1.0,30.0,4,3,2,432,Potential Loyalist
10609,345,1.0,31.8,1,3,2,132,At Risk
10610,88,1.0,27.28,3,3,1,331,Frequent Low Spenders
10611,331,1.0,44.52,1,3,2,132,At Risk
10612,175,1.0,505.65999999999997,2,3,5,235,At Risk
10613,204,1.0,230.5,2,3,5,235,At Risk
10614,56,1.0,47.49,4,3,2,432,Potential Loyalist
10615,45,2.0,89.8,4,5,4,454,Loyal Customers
10616,157,1.0,67.18,2,3,3,233,At Risk
10620,82,1.0,450.0,4,3,5,435,Loyal Customers
10622,17,1.0,163.41,5,3,4,534,Loyal Customers
10624,218,1.0,161.01,2,3,4,234,At Risk
10625,332,1.0,141.12,1,3,4,134,At Risk
10626,35,1.0,89.78999999999999,5,3,4,534,Loyal Customers
10629,250,1.0,24.44,1,3,1,131,At Risk
10630,2,1.0,32.97,5,3,2,532,Potential Loyalist
10631,129,1.0,50.0,3,3,2,332,Frequent Low Spenders
10634,161,1.0,10.0,2,3,1,231,At Risk
10636,94,1.0,34.43,3,3,2,332,Frequent Low Spenders
10641,346,1.0,30.24,1,3,2,132,At Risk
10643,61,1.0,86.97,4,3,3,433,Loyal Customers
10644,62,1.0,115.65,4,3,4,434,Loyal Customers
10646,52,1.0,233.9,4,3,5,435,Loyal Customers
10647,236,1.0,823.99,1,3,5,135,At Risk
10648,137,1.0,38.2,3,3,2,332,Frequent Low Spenders
10651,11,1.0,19.41,5,3,1,531,Potential Loyalist
10654,36,1.0,71.92,5,3,3,533,Loyal Customers
10655,152,1.0,51.03,3,3,3,333,Others
10657,85,1.0,40.0,4,3,2,432,Potential Loyalist
10659,83,1.0,37.03,4,3,2,432,Potential Loyalist
10660,211,1.0,59.129999999999995,2,3,3,233,At Risk
10661,252,1.0,187.76,1,3,5,135,At Risk
